condition_key,fold,seed,method,removal_fraction,removal_label,n_removed,auc,accuracy,baseline_auc_same_fold_seed,delta_auc_vs_baseline,checkpoint_sha256,fixed_epoch,epochs_executed,runtime_seconds,ranking_scope,outer_test_used_for_ranking_or_training,retrained_baseline_max_abs_error_vs_checkpoint,ranking_sha256,condition_status,attribution_auc,random_auc,paired_difference
fold06__seed44__integrated_gradients__10pct,6,44,integrated_gradients,0.1,10%,498,0.669791666667,0.625,0.711458333333,-0.0416666666667,6a6a4e5a7e6995feb81b6a05659334da76f0c4332c7ba7a0cba1395393cd17fb,10,10,6.3108189106,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,f7754d33df3c1998a56e6b01757db9436befef8012b52f5634c2d32a0b77b38d,COMPLETE,0.669791666667,0.7,-0.0302083333333
fold06__seed44__random__10pct,6,44,random,0.1,10%,498,0.7,0.681818181818,0.711458333333,-0.0114583333333,6a6a4e5a7e6995feb81b6a05659334da76f0c4332c7ba7a0cba1395393cd17fb,10,10,6.97253394127,seeded_equal_cardinality_random,False,,not_applicable,COMPLETE,,,
fold07__seed42__unmodified_baseline__baseline,7,42,unmodified_baseline,,0%,0,0.761458333333,0.670454545455,0.761458333333,0,76a12eebc52f94e8773d2b74e159f71bb335825bdda105c59175de51405db129,5,5,3.887362957,not_applicable,False,3.05594154648e-07,,COMPLETE,,,
fold07__seed42__gradient_x_input__5pct,7,42,gradient_x_input,0.05,5%,249,0.7703125,0.693181818182,0.761458333333,0.00885416666667,76a12eebc52f94e8773d2b74e159f71bb335825bdda105c59175de51405db129,5,5,3.72268676758,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,f24de6c673033aff9c543411f1d259b430c5d4468b1a45e3ff84952b933c041f,COMPLETE,0.7703125,0.758333333333,0.0119791666667
fold07__seed42__integrated_gradients__5pct,7,42,integrated_gradients,0.05,5%,249,0.767708333333,0.715909090909,0.761458333333,0.00625,76a12eebc52f94e8773d2b74e159f71bb335825bdda105c59175de51405db129,5,5,4.03173923492,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,f24de6c673033aff9c543411f1d259b430c5d4468b1a45e3ff84952b933c041f,COMPLETE,0.767708333333,0.758333333333,0.009375
fold07__seed42__random__5pct,7,42,random,0.05,5%,249,0.758333333333,0.693181818182,0.761458333333,-0.003125,76a12eebc52f94e8773d2b74e159f71bb335825bdda105c59175de51405db129,5,5,3.63147258759,seeded_equal_cardinality_random,False,,not_applicable,COMPLETE,,,
fold07__seed42__gradient_x_input__10pct,7,42,gradient_x_input,0.1,10%,498,0.758333333333,0.681818181818,0.761458333333,-0.003125,76a12eebc52f94e8773d2b74e159f71bb335825bdda105c59175de51405db129,5,5,3.67791318893,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,f24de6c673033aff9c543411f1d259b430c5d4468b1a45e3ff84952b933c041f,COMPLETE,0.758333333333,0.763541666667,-0.00520833333333
fold07__seed42__integrated_gradients__10pct,7,42,integrated_gradients,0.1,10%,498,0.753645833333,0.681818181818,0.761458333333,-0.0078125,76a12eebc52f94e8773d2b74e159f71bb335825bdda105c59175de51405db129,5,5,3.58734226227,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,f24de6c673033aff9c543411f1d259b430c5d4468b1a45e3ff84952b933c041f,COMPLETE,0.753645833333,0.763541666667,-0.00989583333333
fold07__seed42__random__10pct,7,42,random,0.1,10%,498,0.763541666667,0.681818181818,0.761458333333,0.00208333333333,76a12eebc52f94e8773d2b74e159f71bb335825bdda105c59175de51405db129,5,5,3.54424953461,seeded_equal_cardinality_random,False,,not_applicable,COMPLETE,,,
fold07__seed43__unmodified_baseline__baseline,7,43,unmodified_baseline,,0%,0,0.74375,0.670454545455,0.74375,0,15c346b625fc4d27a3dc0ad2dd6f77136c46e08a7fe0691c50112a242def355d,15,15,10.5428795815,not_applicable,False,1.2440510454e-06,,COMPLETE,,,
fold07__seed43__gradient_x_input__5pct,7,43,gradient_x_input,0.05,5%,249,0.7609375,0.704545454545,0.74375,0.0171875,15c346b625fc4d27a3dc0ad2dd6f77136c46e08a7fe0691c50112a242def355d,15,15,9.82868218422,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,f24de6c673033aff9c543411f1d259b430c5d4468b1a45e3ff84952b933c041f,COMPLETE,0.7609375,0.786979166667,-0.0260416666667
fold07__seed43__integrated_gradients__5pct,7,43,integrated_gradients,0.05,5%,249,0.716666666667,0.681818181818,0.74375,-0.0270833333333,15c346b625fc4d27a3dc0ad2dd6f77136c46e08a7fe0691c50112a242def355d,15,15,9.46233558655,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,f24de6c673033aff9c543411f1d259b430c5d4468b1a45e3ff84952b933c041f,COMPLETE,0.716666666667,0.786979166667,-0.0703125
fold07__seed43__random__5pct,7,43,random,0.05,5%,249,0.786979166667,0.704545454545,0.74375,0.0432291666667,15c346b625fc4d27a3dc0ad2dd6f77136c46e08a7fe0691c50112a242def355d,15,15,9.36901760101,seeded_equal_cardinality_random,False,,not_applicable,COMPLETE,,,
fold07__seed43__gradient_x_input__10pct,7,43,gradient_x_input,0.1,10%,498,0.76875,0.670454545455,0.74375,0.025,15c346b625fc4d27a3dc0ad2dd6f77136c46e08a7fe0691c50112a242def355d,15,15,10.1734409332,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,f24de6c673033aff9c543411f1d259b430c5d4468b1a45e3ff84952b933c041f,COMPLETE,0.76875,0.743229166667,0.0255208333333
fold07__seed43__integrated_gradients__10pct,7,43,integrated_gradients,0.1,10%,498,0.726041666667,0.670454545455,0.74375,-0.0177083333333,15c346b625fc4d27a3dc0ad2dd6f77136c46e08a7fe0691c50112a242def355d,15,15,10.9847390652,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,f24de6c673033aff9c543411f1d259b430c5d4468b1a45e3ff84952b933c041f,COMPLETE,0.726041666667,0.743229166667,-0.0171875
fold07__seed43__random__10pct,7,43,random,0.1,10%,498,0.743229166667,0.636363636364,0.74375,-0.000520833333333,15c346b625fc4d27a3dc0ad2dd6f77136c46e08a7fe0691c50112a242def355d,15,15,10.9432086945,seeded_equal_cardinality_random,False,,not_applicable,COMPLETE,,,
fold07__seed44__unmodified_baseline__baseline,7,44,unmodified_baseline,,0%,0,0.734375,0.693181818182,0.734375,0,22554bbe39b3eb4024c43911261752b25ae95524a435aa753e54e48192f8086f,80,80,55.2494711876,not_applicable,False,2.21934633449e-07,,COMPLETE,,,
fold07__seed44__gradient_x_input__5pct,7,44,gradient_x_input,0.05,5%,249,0.725,0.625,0.734375,-0.009375,22554bbe39b3eb4024c43911261752b25ae95524a435aa753e54e48192f8086f,80,80,52.5027968884,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,f24de6c673033aff9c543411f1d259b430c5d4468b1a45e3ff84952b933c041f,COMPLETE,0.725,0.759375,-0.034375
fold07__seed44__integrated_gradients__5pct,7,44,integrated_gradients,0.05,5%,249,0.729166666667,0.659090909091,0.734375,-0.00520833333333,22554bbe39b3eb4024c43911261752b25ae95524a435aa753e54e48192f8086f,80,80,56.2775754929,outer_train_only__three_canonical_seed_signed_mean_then_subject_mean_absolute,False,,f24de6c673033aff9c543411f1d259b430c5d4468b1a45e3ff84952b933c041f,COMPLETE,0.729166666667,0.759375,-0.0302083333333
fold07__seed44__random__5pct,7,44,random,0.05,5%,249,0.759375,0.693181818182,0.734375,0.025,22554bbe39b3eb4024c43911261752b25ae95524a435aa753e54e48192f8086f,80,80,52.5259461403,seeded_equal_cardinality_random,False,,not_applicable,COMPLETE,,,
