feature_index_zero_based,gxi_mean_absolute,ig_mean_absolute,gxi_rank_ascending,ig_rank_ascending,common_structural_zero
2325,0.000936149270274,0.00310661224648,18054,18027,False
2326,0,0,1371,1371,True
2327,0.000121236364066,0.000390189699829,12934,12884,False
2328,0.000109729007818,0.000313576194458,12789,12618,False
2329,0.000242642941885,0.000859285762999,13963,14056,False
2330,4.69641126983e-05,0.000140053569339,12027,11963,False
2331,0.000537460669875,0.00175746809691,15833,15733,False
2332,4.45826372015e-05,0.000188765741768,12000,12160,False
2333,0.00120420835447,0.00410769460723,18705,18733,False
2334,0.000684482452925,0.00233435421251,16909,16968,False
2335,0,0,1372,1372,True
2336,0.000438814866357,0.00152761547361,15143,15268,False
2337,0,0,1373,1373,True
2338,0.000287761329673,0.00100262067281,14251,14313,False
2339,0.00145798420999,0.00519199948758,19116,19210,False
2340,0.00012277335918,0.000401049474021,12950,12918,False
2341,0,0,1374,1374,True
2342,0.000583662302233,0.00186285725795,16201,15968,False
2343,0.00121274427511,0.00398591160774,18719,18672,False
2344,0,0,1375,1375,True
2345,0.000719021190889,0.00233838311397,17101,16976,False
2346,0,0,1376,1376,True
2347,0,0,1377,1377,True
2348,0,0,1378,1378,True
2349,0.0001034080924,0.000302135478705,12721,12578,False
2350,0.000381865567761,0.0013215681538,14795,14876,False
2351,0,0,1379,1379,True
2352,0,0,1380,1380,True
2353,0.00182138895616,0.00615695305169,19481,19486,False
2354,0,0,1381,1381,True
2355,0.000183250682312,0.000557461869903,13548,13379,False
2356,0.00163364340551,0.00530233094469,19298,19245,False
2357,0,0,1382,1382,True
2358,0,0,1383,1383,True
2359,7.26123107597e-05,0.000228086253628,12355,12305,False
2360,0,0,1384,1384,True
2361,0,0,1385,1385,True
2362,0,0,1386,1386,True
2363,0.000494419422466,0.00154146377463,15512,15302,False
2364,0,0,1387,1387,True
2365,0,0,1388,1388,True
2366,0,0,1389,1389,True
2367,0,0,1390,1390,True
2368,0,0,1391,1391,True
2369,5.2244602557e-05,0.000168673053849,12095,12079,False
2370,0,0,1392,1392,True
2371,0,0,1393,1393,True
2372,0.00018601238844,0.00064431829378,13565,13606,False
2373,0.000413896836108,0.00126448925585,14982,14765,False
2374,0,0,1394,1394,True
2375,0,0,1395,1395,True
2376,0,0,1396,1396,True
2377,0.000759629474487,0.00253338855691,17337,17319,False
2378,0,0,1397,1397,True
2379,0.000377569056582,0.00117898546159,14761,14623,False
2380,8.27693802421e-05,0.000262865098193,12484,12441,False
2381,0,0,1398,1398,True
2382,0,0,1399,1399,True
2383,0,0,1400,1400,True
2384,0.000209464080399,0.000608486472629,13738,13522,False
2385,0,0,1401,1401,True
2386,0.000958970747888,0.00311357085593,18131,18034,False
2387,0.000357793061994,0.00117045745719,14650,14605,False
2388,0.00129208702128,0.00453827017918,18857,18942,False
2389,0,0,1402,1402,True
2390,6.41899969196e-05,0.000239039000007,12250,12347,False
2391,0,0,1403,1403,True
2392,0,0,1404,1404,True
2393,0,0,1405,1405,True
2394,0,0,1406,1406,True
2395,0,0,1407,1407,True
2396,0.000690726621542,0.00246966001578,16940,17199,False
2397,0,0,1408,1408,True
2398,0.000460491661215,0.00157137180213,15281,15348,False
2399,0,0,1409,1409,True
2400,0,0,1410,1410,True
2401,0,0,1411,1411,True
2402,0.000687449297402,0.00231692846864,16921,16940,False
2403,0,0,1412,1412,True
2404,0,0,1413,1413,True
2405,0,0,1414,1414,True
2406,0,0,1415,1415,True
2407,0,0,1416,1416,True
2408,0.000181283074198,0.000614125048742,13530,13534,False
2409,0,0,1417,1417,True
2410,0,0,1418,1418,True
2411,0,0,1419,1419,True
2412,0,0,1420,1420,True
2413,0.000241182278842,0.000769646139815,13955,13862,False
2414,0.000959469994996,0.00323421764188,18134,18152,False
2415,0.000454056251328,0.00137863261625,15246,14975,False
2416,0.000386053754482,0.00136402901262,14820,14943,False
2417,0.000108900720079,0.00036647907109,12776,12793,False
2418,0.00187219365034,0.00625065900385,19522,19513,False
2419,0.000520881847478,0.00179605139419,15706,15828,False
2420,0.000765895936638,0.00255196727812,17365,17343,False
2421,0,0,1421,1421,True
2422,0.000226272866712,0.000707340193912,13850,13732,False
2423,0,0,1422,1422,True
2424,0,0,1423,1423,True
2425,0.000599768653046,0.00196868437342,16339,16250,False
2426,0.000239715824137,0.000801965710707,13946,13938,False
2427,0.000600102590397,0.00202145753428,16343,16368,False
2428,0,0,1424,1424,True
2429,0,0,1425,1425,True
2430,0.00184477865696,0.00590079650283,19499,19407,False
2431,0.00085369014414,0.00281560211442,17761,17685,False
2432,0.000422187178629,0.0014172141673,15046,15057,False
2433,0.000663062673993,0.00224421406165,16791,16808,False
2434,0.000593519944232,0.00201661931351,16278,16356,False
2435,0,0,1426,1426,True
2436,0.00146071019117,0.00478028552607,19119,19059,False
2437,0,0,1427,1427,True
2438,0.00108456378803,0.00363678764552,18461,18459,False
2439,0,0,1428,1428,True
2440,0.000913252995815,0.00304820458405,17978,17959,False
2441,8.24933231343e-05,0.000280809996184,12483,12519,False
2442,0,0,1429,1429,True
2443,0.000798870285507,0.00255938386545,17516,17355,False
2444,0.00172053137794,0.0058880620636,19382,19399,False
2445,0.000894855242223,0.0030283711385,17916,17937,False
2446,0.000178349451744,0.000587518326938,13502,13472,False
2447,0.000380776793463,0.00124870520085,14787,14733,False
2448,0.000122067547636,0.000396184681449,12942,12901,False
2449,0.000470436090836,0.00151732075028,15345,15248,False
2450,0,0,1430,1430,True
2451,0.00192814436741,0.0065091252327,19557,19570,False
2452,0,0,1431,1431,True
2453,0,0,1432,1432,True
2454,0.00113054201938,0.00381700578146,18565,18576,False
2455,0,0,1433,1433,True
2456,0.000914582167752,0.00315597373992,17984,18084,False
2457,0.000197201457922,0.000691058230586,13649,13696,False
2458,0.00201065442525,0.00656029069796,19621,19580,False
2459,0,0,1434,1434,True
2460,0.000453113752883,0.00149370776489,15237,15210,False
2461,0,0,1435,1435,True
2462,0.000662697129883,0.00226419093087,16788,16839,False
2463,0,0,1436,1436,True
2464,0.000200894370209,0.000709763844498,13675,13737,False
2465,0,0,1437,1437,True
2466,0.000141522148624,0.000562905101106,13147,13399,False
2467,0.000755386368837,0.00249620620161,17308,17247,False
2468,0.00111658964306,0.00374359055422,18540,18535,False
2469,0.000622885825578,0.00201269611716,16498,16345,False
2470,0.000609655515291,0.00209037121385,16403,16511,False
2471,0.000915994984098,0.00305694807321,17989,17971,False
2472,0,0,1438,1438,True
2473,0.000750282139052,0.00238309754059,17286,17054,False
2474,0,0,1439,1439,True
2475,0,0,1440,1440,True
2476,0.000391061970731,0.0013722035801,14865,14963,False
2477,0.000166100508068,0.000541941204574,13388,13329,False
2478,0,0,1441,1441,True
2479,0.00121754396241,0.00410646665841,18727,18732,False
2480,0.000559798441827,0.00182525999844,15996,15900,False
2481,0.000316469260724,0.00105709047057,14398,14400,False
2482,0.000440560048446,0.00144889589865,15152,15120,False
2483,0.00048371515004,0.00164104858413,15432,15479,False
2484,0.00128589419182,0.00436502695084,18851,18865,False
2485,0,0,1442,1442,True
2486,0.000632873736322,0.00216965051368,16574,16668,False
2487,0.0017532359343,0.00592845259234,19409,19414,False
2488,0,0,1443,1443,True
2489,0.00128694961313,0.0042621945031,18853,18819,False
2490,0.000517288106494,0.00173832848668,15678,15681,False
2491,0,0,1444,1444,True
2492,0,0,1445,1445,True
2493,0,0,1446,1446,True
2494,0,0,1447,1447,True
2495,0.00178950326517,0.00600689323619,19453,19447,False
2496,0.00061158509925,0.00197213632055,16416,16259,False
2497,0,0,1448,1448,True
2498,0.000592914235312,0.00197407905944,16270,16265,False
2499,0,0,1449,1449,True
2500,0,0,1450,1450,True
2501,0,0,1451,1451,True
2502,0.000506164331455,0.00162301084492,15598,15451,False
2503,0.000940602971241,0.00308125698939,18067,18002,False
2504,0,0,1452,1452,True
2505,0.0012247741688,0.00407076673582,18741,18714,False
2506,0.00173228932545,0.00577135989442,19397,19367,False
2507,0,0,1453,1453,True
2508,0.00114763458259,0.00392004428431,18599,18638,False
2509,0,0,1454,1454,True
2510,0,0,1455,1455,True
2511,0,0,1456,1456,True
2512,0.000388046173612,0.00136813486461,14839,14956,False
2513,0.00065462407656,0.00211522588506,16730,16555,False
2514,0,0,1457,1457,True
2515,0,0,1458,1458,True
2516,0.000566363392863,0.00190892303362,16047,16088,False
2517,0,0,1459,1459,True
2518,0,0,1460,1460,True
2519,0,0,1461,1461,True
2520,0.000677579781041,0.00230210018344,16871,16912,False
2521,0,0,1462,1462,True
2522,0,0,1463,1463,True
2523,0,0,1464,1464,True
2524,0.00320360390469,0.0103768343106,19873,19866,False
2525,0,0,1465,1465,True
2526,0.00172913575079,0.00577036337927,19394,19366,False
2527,0.000843868649099,0.0030209349934,17721,17925,False
2528,0,0,1466,1466,True
2529,0.000525291019585,0.00166641466785,15742,15531,False
2530,0.000697056879289,0.00221623410471,16976,16761,False
2531,0,0,1467,1467,True
2532,0,0,1468,1468,True
2533,0.000507679593284,0.00178097840399,15610,15789,False
2534,0,0,1469,1469,True
2535,0.00127611984499,0.00424599042162,18838,18811,False
2536,0,0,1470,1470,True
2537,0.000267573399469,0.00087975396309,14128,14095,False
2538,0.000649926718324,0.00215003313497,16695,16628,False
2539,0,0,1471,1471,True
2540,0.000745764642488,0.00248641590588,17259,17232,False
2541,0.000658972829115,0.00238748267293,16756,17061,False
2542,0.0016618455993,0.00564616732299,19325,19331,False
2543,0,0,1472,1472,True
2544,0.000197180968826,0.000650347443298,13647,13622,False
2545,0.000865883543156,0.00289439014159,17806,17790,False
2546,0,0,1473,1473,True
2547,0,0,1474,1474,True
2548,0,0,1475,1475,True
2549,0.00105295539834,0.00357242114842,18384,18417,False
2550,0.00162822182756,0.00578152108938,19293,19370,False
2551,0,0,1476,1476,True
2552,0.000247630057856,0.000822072848678,13992,13980,False
2553,0,0,1477,1477,True
2554,0.00105679000262,0.00354206422344,18393,18393,False
2555,0.000218921777559,0.000777694163844,13805,13884,False
2556,0,0,1478,1478,True
2557,0,0,1479,1479,True
2558,0,0,1480,1480,True
2559,0,0,1481,1481,True
2560,0,0,1482,1482,True
2561,0,0,1483,1483,True
2562,0,0,1484,1484,True
2563,0,0,1485,1485,True
2564,0,0,1486,1486,True
2565,0.00115127244499,0.00384678551927,18606,18598,False
2566,0.000580086663831,0.00194787350483,16171,16188,False
2567,6.65558982291e-05,0.000254193175351,12283,12409,False
2568,0,0,1487,1487,True
2569,0.000573767116293,0.00189480721019,16112,16045,False
2570,0,0,1488,1488,True
2571,0,0,1489,1489,True
2572,0,0,1490,1490,True
2573,0.000453199172625,0.00157551653683,15239,15359,False
2574,0,0,1491,1491,True
2575,0,0,1492,1492,True
2576,0.00277029024437,0.00930807925761,19836,19836,False
2577,0,0,1493,1493,True
2578,0,0,1494,1494,True
2579,0,0,1495,1495,True
2580,0.00170573883224,0.00547594111413,19367,19287,False
2581,0,0,1496,1496,True
2582,0,0,1497,1497,True
2583,8.44784372021e-05,0.000221791022341,12501,12281,False
2584,0,0,1498,1498,True
2585,0,0,1499,1499,True
2586,0,0,1500,1500,True
2587,0.000803362869192,0.0026958824601,17538,17543,False
2588,0,0,1501,1501,True
2589,5.46346709598e-05,0.000160241193953,12126,12051,False
2590,0,0,1502,1502,True
2591,0.000174503933522,0.000607589725405,13462,13520,False
2592,0,0,1503,1503,True
2593,0,0,1504,1504,True
2594,0.000520521891303,0.00180934707168,15704,15864,False
2595,4.04478814744e-05,0.000131156339194,11952,11932,False
2596,0,0,1505,1505,True
2597,0.000299371167785,0.00105582014658,14317,14397,False
2598,0.000687224674039,0.00228419457562,16920,16876,False
2599,0,0,1506,1506,True
2600,0.000133411653223,0.000455147732282,13059,13081,False
2601,0,0,1507,1507,True
2602,0,0,1508,1508,True
2603,0,0,1509,1509,True
2604,0.000442234129878,0.00148399721365,15166,15194,False
2605,0,0,1510,1510,True
2606,0.000841976550873,0.00290905544534,17712,17807,False
2607,0,0,1511,1511,True
2608,0.000260862521827,0.000826766830869,14086,13987,False
2609,0,0,1512,1512,True
2610,0.000136314585689,0.000475368142361,13098,13151,False
2611,0,0,1513,1513,True
2612,0,0,1514,1514,True
2613,0,0,1515,1515,True
2614,0,0,1516,1516,True
2615,0,0,1517,1517,True
2616,0,0,1518,1518,True
2617,0,0,1519,1519,True
2618,0,0,1520,1520,True
2619,0,0,1521,1521,True
2620,0,0,1522,1522,True
2621,0,0,1523,1523,True
2622,0,0,1524,1524,True
2623,0,0,1525,1525,True
2624,0,0,1526,1526,True
2625,0,0,1527,1527,True
2626,4.83451185573e-05,0.000149158251588,12040,12004,False
2627,0.000698023068253,0.00234294123948,16982,16987,False
2628,0,0,1528,1528,True
2629,0.000414264795836,0.00141047965735,14986,15045,False
2630,0,0,1529,1529,True
2631,0,0,1530,1530,True
2632,0,0,1531,1531,True
2633,6.72204987495e-05,0.000216748478124,12289,12254,False
2634,0,0,1532,1532,True
2635,0,0,1533,1533,True
2636,0,0,1534,1534,True
2637,0.00130978529342,0.00443380558863,18885,18898,False
2638,0.00074017373845,0.00246673845686,17231,17196,False
2639,0.000754870532546,0.00250370707363,17306,17268,False
2640,0,0,1535,1535,True
2641,0,0,1536,1536,True
2642,0.000136496426421,0.000447755475761,13101,13058,False
2643,0,0,1537,1537,True
2644,0,0,1538,1538,True
2645,0.000434948742623,0.00146142416634,15119,15147,False
2646,6.4404841396e-05,0.000211353268242,12254,12245,False
2647,0,0,1539,1539,True
2648,0,0,1540,1540,True
2649,0,0,1541,1541,True
2650,0,0,1542,1542,True
2651,0,0,1543,1543,True
2652,0,0,1544,1544,True
2653,0,0,1545,1545,True
2654,9.8867858469e-05,0.000330916547682,12672,12668,False
2655,0,0,1546,1546,True
2656,5.74767436774e-05,0.000187802579603,12152,12157,False
2657,0,0,1547,1547,True
2658,0.000519015418831,0.00174314761534,15690,15694,False
2659,0.00128974183463,0.00431556580588,18856,18845,False
2660,0,0,1548,1548,True
2661,0,0,1549,1549,True
2662,0,0,1550,1550,True
2663,0,0,1551,1551,True
2664,0,0,1552,1552,True
2665,0,0,1553,1553,True
2666,7.91142520029e-05,0.00027355007478,12437,12486,False
2667,0,0,1554,1554,True
2668,0,0,1555,1555,True
2669,0.00217634509318,0.00751715060323,19713,19733,False
2670,0.00145709479693,0.00522542605177,19114,19223,False
2671,0.00206860853359,0.00680687045678,19658,19626,False
2672,0,0,1556,1556,True
2673,0,0,1557,1557,True
2674,0.000412244815379,0.00139320129529,14973,15012,False
2675,0,0,1558,1558,True
2676,0.000484876014525,0.00155700312462,15442,15327,False
2677,0,0,1559,1559,True
2678,0,0,1560,1560,True
2679,7.46565128793e-05,0.000250222394243,12369,12389,False
2680,0.000201120972633,0.000670201901812,13677,13656,False
2681,0.000957414682489,0.0033516145777,18124,18253,False
2682,0,0,1561,1561,True
2683,0.00125694472808,0.00414436589926,18803,18750,False
2684,0,0,1562,1562,True
2685,0,0,1563,1563,True
